DM_INSTITUCION_COD_INSTITUCION,NOMBRE,CCB_NIT_INST,ORDEN,SUBORDEN,NIVEL_INSTITUCION,CLASIFICACION_ORGANICA,SECTOR,NATURALEZA_JURIDICA,TIPO_INSTITUCION,IDMUNICIPIO,MUNICIPIO,IDDEPARTAMENTO,DEPARTAMENTO,DIRECCION,FAX,EMAIL,CCB_TELEFONO,CCB_PAGINA_WEB,LONGITUD,LATITUD,ESTADO_INS,NOMBRE_REPRESENTANTE,CARGO_REPRESENTANTE
8062,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,NULL,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,AGRICULTURA Y DESARROLLO SOCIAL,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""Avenida Calle 26 # 85B-09 pisos 3 y 5""",NULL,NULL,3770300,http://www.restituciondetierras.gov.co,-74.072092,4.710989,ACTIVA,Rangel Giovani Yule Zape,"Gerente, Presidente O Director General O Nacional De Entidad Descentralizada Ó D"
2954,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SUESCA,832011441,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,772,SUESCA,25,CUNDINAMARCA,"""Calle 9 A N 3 - 80""",8563147,hnsrsuesca@yahoo.es,8563147,NO DISPONIBLE,-73.798632,5.103929,ACTIVA,"MANRIQUE DIAZ, LUZ MARINA",Gerente Empresa Social Del Estado
5295,"INSTITUTO DE HIDROLOGIA, METEOROLOGIA Y ESTUDIOS AMBIENTALES",830000602,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,AMBIENTE Y DESARROLLO SOSTENIBLE,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 10 N 20  30  """,3527160,talentohumano@ideam.gov.co,3527160,http://www.ideam.gov.co,-74.072092,4.710989,ACTIVA,Ghisliane Echeverry Prieto,"Gerente, Presidente O Director General O Nacional De Entidad Descentralizada Ó D"
5670,PERSONERIA DE LA CELIA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,383,LA CELIA,66,RISARALDA,"""VACIA""",NULL,NULL,3671525,NO DISPONIBLE,-76.003424,5.003233,ACTIVA,"MONTOYA RAMIREZ, JESIKA ELIANA",Personero
1935,HOSPITAL NUESTRA SEÑORA DE LAS MERCEDES,NULL,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,286,FUNZA,25,CUNDINAMARCA,"""Calle 11 # 9 - 99""",NULL,NULL,NULL,NO DISPONIBLE,-74.21225,4.717029,ACTIVA,"MUELLE PLAZAS, JULIA ISABEL",Gerente Empresa Social Del Estado
3471,HOSPITAL LOCAL -PUERTO LOPEZ,800037979,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,573,PUERTO LÓPEZ,50,META,"""Calle 8 Nº 6-50 Barrio Gaitán""",6450955,"secretaria@esehospitalocal-puertolopez-meta.gov.co
secretaria@esehospitalocal-puertolopez-meta.gov.co - Gerente@esehospitalocal-puertolopez-meta.gov.co",6450955,http://www.esehospitalocal-puertolopez-meta.gov.co,-72.955918,4.091354,ACTIVA,"PINILLA LEON, ALVARO HERNANDO",Gerente Empresa Social Del Estado
8002,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION PENSIONAL Y CONTRIBUCIONES PARAFISCALES DE LA PROTECCION SOCIAL,900373913,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 19 A 78  80 Piso 5°""",4863399,contactenos@ugpp.gov.co,4237300,http://www.ugpp.gov.co,-74.072092,4.710989,ACTIVA,"JIMENEZ RODRIGUEZ, CICERON FERNANDO",Director General De La Unidad Administrativa Especial De Gestión Pensional Y Contribuciones Parafiscales De La Protección Social -UGPP
2956,HOSPITAL TIMBIO E.S.E.,817000999,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,807,TIMBÍO,19,CAUCA,"""carrera 22 No. 18-00""",8278012,cpmeza1977@yahoo.es,8278518,NO DISPONIBLE,-76.683352,2.352686,ACTIVA,"CAMPO MARTINEZ, MONICA LILIANA",Gerente Empresa Social Del Estado
5298,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA,830067892,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,CULTURA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 12 N 2  41  """,2860095,contactenos@icanh.gov.co,5619400,http://www.icanh.gov.co,-74.072092,4.710989,ACTIVA,Alhena  Caicedo Fernandez,"Gerente, Presidente O Director General O Nacional De Entidad Descentralizada Ó D"
5252,UNIDAD DE INFORMACION Y ANALISIS FINANCIERO,830068074,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 7 N 31  10 piso 6 Torre Bancolombia""",3234970,soporte@uiaf.gov.co,2885222,http://www.uiaf.gov.co,-74.072092,4.710989,ACTIVA,NULL,"Gerente, Presidente O Director General O Nacional De Entidad Descentralizada Ó D"
0418,ALCALDIA DE LEBRIJA  SANTANDER,890206110,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,406,LEBRIJA,68,SANTANDER,"""Calle 11 No. 8-59""",8789212,alcaldia@lebrija-santander.gov.co,576566472,http://lebrija-santander.gov.co,-73.216672,7.111342,ACTIVA,LUIS CARLOS AYALA RUEDA,Alcalde
5290,INDUSTRIA MILITAR,899999044,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,DEFENSA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,VINCULADAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 44 N 54  11  """,2207800,indumil@indumil.gov.co,2207800,http://www.indumil.gov.co,-74.072092,4.710989,ACTIVA,Ricardo  Gomez Nieto,Gerente De Entidad Desentralizada Vincula Del Sector Defensa
4776,INSTITUTO MUNICIPAL PARA LA RECREACION Y EL DEPORTE DE PACHO,832001620,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,513,PACHO,25,CUNDINAMARCA,"""Calle 9 Coliseo Municipal Barrio La Palmita""",8540025,alcaldia@pacho-cundinamarca.gov.co,8540950,NO DISPONIBLE,-74.152868,5.137918,ACTIVA,"MARTINEZ CABRERA, JOSE GONZALO",Director O Gerente General De Entidad Descentralizada
0144,ALCALDIA DE BOJACA,800094622,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,99,BOJACÁ,25,CUNDINAMARCA,"""Carrera 7 N° 6-06""",8243013,alcaldia@bojaca-cundinamarca.gov.co,8243575,http://www.bojaca-cundinamarca.gov.co,-74.341776,4.732618,ACTIVA,NULL,Alcalde
4021,EMPRESA DE SERVICIOS PUBLICOS DE TABIO S.A.,900285304,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,785,TABIO,25,CUNDINAMARCA,"""Carrera  1  No. 3 - 33 Barrio El Portal""",8648126,emsertabio@gmail.com,8648126,www.emsertabio.gov.co,-74.096358,4.916962,ACTIVA,ALEJANDRO DUARTE VALENCIA,Gerente
0680,ALCALDIA DE LA CALERA,899999712,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,377,LA CALERA,25,CUNDINAMARCA,"""Carrera 3 No. 6-10 Parque Principal""",8600031,dvenegas@lacalera.gov.co,88600032,http://www.lacalera-cundinamarca.gov.co,-73.968631,4.720521,ACTIVA,NULL,Alcalde
