nombre_entidad,nit_entidad,sector
ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,900336004,Trabajo
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,901037916,Salud y Protección Social
AEROCIVIL,899999059,Transporte
AGENCIA DE DESARROLLO RURAL,900948958,agricultura
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,899999162,defensa
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,900507741,Ley de Justicia
AGENCIA NACIONAL DE HIDROCARBUROS,830127607,Minas y Energía
AGENCIA NACIONAL DE INFRAESTRUCTURA  ANI,8301259969,Transporte
AGENCIA NACIONAL DE MINERIA,900500018,Minas y Energía
AGENCIA NACIONAL DE SEGURIDAD VIAL,9008529985,Transporte
AGENCIA NACIONAL DE TIERRAS  ANT,900948953,agricultura
AGENCIA NACIONAL DEL ESPECTRO,900334265,Tecnologías de la Información y las Comunicaciones
AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN,900477169,Presidencia de la República
AGN,800128835,Cultura
ALCALDIA CIMITARRA,890208363,Servicio Público
ALCALDIA DE MALAMBO,8901143351,Servicio Público
ALCALDIA DE VERGARA CUNDINAMARCA,899999448,Servicio Público
ALCALDIA LOCAL CONTINENTE EL PAILON,901070157,Servicio Público
ALCALDIA MUNICIPAL ALBAN,899999450,Servicio Público
ALCALDIA MUNICIPAL DE MIRAFLORES BOYACA,800029660,No aplica/No pertenece
ALCALDIA MUNICIPAL DE TINJACA,800028436,Presidencia de la República
ALCALDIA MUNICIPAL DE VETAS,890210951,Servicio Público
ALCALDIA MUNICIPIO DE ARCABUCO,800063791,Servicio Público
ALCALDIA MUNICIPIO DE EL PEÑOL,814002243,Servicio Público
ALCALDIA MUNICIPIO DE SITIONUEVO,891780103,Servicio Público
ALCALDIA SAN PABLO DE BORBUR,891801369,Servicio Público
ALCALDÍA MUNICIPAL DE MAGANGUE,800028432,Servicio Público
ALCALDÍA MUNICIPAL DE ROLDANILLO,891900289,Servicio Público
ALDESARROLLO,9011004555,Educación Nacional
ANASHIWAYA IPS INDIGENA,9001776240,Salud y Protección Social
ANLA,900467239,Ambiente y Desarrollo Sostenible
APC  COLOMBIA,900484852,Presidencia de la República
APOYO LOGISTICO COMANDO EJERCITO,8001306324,defensa
ARMADA  NACIONAL JEFATURA DE OPERACIONES LOGISTICAS,800141644,defensa
ARMADA NACIONAL   BASE NAVAL No 3 ARC LEGUIZAMO,800141686,defensa
ARMADA NACIONAL  BASE NAVAL ARC ORINOQUIA,800141684,defensa
ARMADA NACIONAL  BASE NAVAL No1 ARC BOLÍVAR,800141645,defensa
ARMADA NACIONAL  BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No6,800141688,defensa
ARMADA NACIONAL  DADIN,900039527,defensa
ARMADA NACIONAL  GRUPO GUARDACOSTAS DEL AMAZONAS,838000055,defensa
ARMADA NACIONAL BASE NAVAL ARC MALAGA,800141658,defensa
ARMADA NACIONAL BASE NAVAL No 6 ARC BOGOTA,800141644,defensa
ARMADA NACIONAL BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No 4,800141667,defensa
ARMADA NACIONAL ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA,800141648,defensa
ARMADA NACIONAL ESCUELA NAVAL DE SUBOFICIALES ARC BARRANQUILLA,800141653,defensa
ARMADA NACIONAL JEFATURA DE DESARROLO HUMANO Y FAMILIA,800141644,defensa
ARMADA NACIONALBATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No1,823001882,defensa
ART,901006886,Presidencia de la República
ARTESANIAS DE COLOMBIA SA,860007887,Industria
ASOAREAS,800119884,Planeación
ASOCIACION COLOMBIANA DE CIUDADES INTERMEDIAS,9016289940,No aplica/No pertenece
ASOCIACION COLOMBIANA PARA EL AVANCE DE LA CIENCIA,890203944,Ciencia Tecnología
ASOCIACION DE MUNICIPIOS CORPORACIÓN AGENCIA PARA EL DESARROLLO DE LOS MUNICIPIOS DE LA SUBREGIÓN DE BOSQUES,900225707,Servicio Público
ASOCIACION DE MUNICIPIOS DEL MAGDALENA MEDIO ANTIOQUEÑO,900793275,No aplica/No pertenece
AUDITORIA GENERAL DE LA REPUBLICA,830065741,No aplica/No pertenece
AUNAP,900479669,agricultura
AVB,9004839910,Presidencia de la República
BASPC N 19,800131272,defensa
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE N 28,842000005,defensa
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE No 26,838000326,defensa
BATALLON DE ASPC No 17 CLARA ELISA NARVAEZ ARTEAGA,830054053,defensa
BATALLÓN DE APOYO Y SERVICIOS PARA EL COMBATE N11,800131053,defensa
BATALLÓN DE APOYO Y SERVICIOS PARA EL COMBATE No 22,900364348,defensa
BATALLÓN DE ASPC No 18 ST RAFAEL ARAGONA,834000726,defensa
