nombre_entidad,nit_entidad,sector
ACIDC,901486723,agricultura
ACOPI Antioquia,8909007481,No aplica/No pertenece
ACUEDUCTO Y ALCANTARILLADO DE POPAYAN SA ESP,891500117,No aplica/No pertenece
ADMINISTRACION PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS DOMICILIARIOS DE BUESACO,900162638,No aplica/No pertenece
ADMINISTRACION PUBLICA COOPERATIVA ENTIDAD PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO,900303007,No aplica/No pertenece
ADMINISTRACIÓN PUBLICA COOPERATIVA DEL MUNICIPIO DE ENCINO AGUASAN APC ESP,900301723,No aplica/No pertenece
ADMINISTRACIÓN TEMPORAL PARA EL SECTOR AGUA POTABLE Y SANEAMIENTO BÁSICO,892115015,"Vivienda, Ciudad y Territorio"
AEROPUERTO INTERNACIONAL MATECAÑA,891480014,Servicio Público
AGENCIA DE CUNDINAMARCA PARA LA PAZ Y LA CONVIVENCIA  ACPC,901024331,Inclusión Social y Reconciliación
AGENCIA DE EDUCACIÓN POSTSECUNDARIA DE MEDELLÍN SAPIENCIA,900602106,Educación Nacional
AGENCIA DISTRITAL DE INFRAESTRUCTURA DEL DISTRITO DE BARRANQUILLA,802024407,Ambiente y Desarrollo Sostenible
AGENCIA DISTRITAL PARA LA EDUCACIÓN SUPERIOR LA CIENCIA Y LA TECNOLOGÍA ATENEA,901508361,Educación Nacional
AGENCIA INVEST IN ORIENTE,8110164993,No aplica/No pertenece
AGENCIA PARA LA GESTIÓN DEL PAISAJE EL PATRIMONIO Y LAS ALIANZAS PÚBLICO PRIVADAS  APP,900623766,Ciencia Tecnología
AGENCIA PARA LA INFRAESTRUCTURA DEL META,900220547,No aplica/No pertenece
AGENCIA PÚBLICA DE EMPLEO DE CUNDINAMARCA APEC,899999114,Trabajo
AGUAS CON FUTURO SA ESP,900437344,No aplica/No pertenece
AGUAS DE BOGOTA SA ESP,830128286,No aplica/No pertenece
AGUAS DEL NORTE ANTIOQUEÑO SA ESP,900232836,Ambiente y Desarrollo Sostenible
AGUAS DEL SOCORRO SA ESP,900639462,Ambiente y Desarrollo Sostenible
AGUAS MANANTIALES DE PACORA,810005513,No aplica/No pertenece
AGUAS Y ASEO DE EL PEÑOL ESP,8110315821,Ambiente y Desarrollo Sostenible
AGUAS Y ASEO DE YONDO SA ESP,811021151,Servicio Público
AGUAS Y ASEO DEL MACIZO SAS ESP,900395462,Servicio Público
ALCADIA MUNICIPAL DE COPACABANA,8909807673,Servicio Público
ALCALDIA  DE MARIA LA BAJA,800095466,No aplica/No pertenece
ALCALDIA  MUNICIPIO DE GUAVATA,890210945,Servicio Público
ALCALDIA  MUNICIPIO DE IBAGUE,800113389,Servicio Público
ALCALDIA CERRITO SANTANDER,890209889,Servicio Público
ALCALDIA DE AGUACHICA,800096561,Servicio Público
ALCALDIA DE ALCALA,891901079,No aplica/No pertenece
