tipo,nivel,CTA_PROG,SUBC_SUBP,CONCEPTO,SECCION,ENTIDAD,APORTE_NACIONAL,RECURSOS_PROPIOS,TOTAL
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"901,360,000,000",,"901,360,000,000"
Servicio de deuda,total,Servicio de deuda,,,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"1,106,000,000",,"1,106,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"135,000,000,000",,"135,000,000,000"
Inversión,partida,0101,,MEJORAMIENTO DE LA EFICIENCIA Y LA TRANSPARENCIA LEGISLATIVA,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"1,368,441,408",,"1,368,441,408"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"1,368,441,408",,"1,368,441,408"
Inversión,partida,0199,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR CONGRESO DE LA REPÚBLICA,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"133,631,558,592",,"133,631,558,592"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"133,631,558,592",,"133,631,558,592"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0101,CONGRESO DE LA REPÚBLICA,"1,037,466,000,000",,"1,037,466,000,000"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"919,052,000,000",,"919,052,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"248,683,124,443",,"248,683,124,443"
Inversión,partida,0204,,IMPULSAR EL DESARROLLO INTEGRAL DE LAS POBLACIONES CON ENFOQUE DIFERENCIAL DESDE EL SECTOR PRESIDENCIA,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"37,579,565,010",,"37,579,565,010"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"37,579,565,010",,"37,579,565,010"
Inversión,partida,0210,,MECANISMOS DE TRANSICIÓN HACIA LA PAZ A NIVEL NACIONAL Y TERRITORIAL DESDE EL SECTOR PRESIDENCIA,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"156,697,924,574",,"156,697,924,574"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"156,697,924,574",,"156,697,924,574"
Inversión,partida,0214,,"FORTALECIMIENTO DE LAS CAPACIDADES DE ARTICULACIÓN ESTRATÉGICA, MODERNIZACIÓN, EFICIENCIA ADMINISTRATIVA, TRANSPARENCIA Y ACCESO A LA INFORMACIÓN DESDE EL SECTOR PRESIDENCIA",SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"35,975,650,439",,"35,975,650,439"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"35,975,650,439",,"35,975,650,439"
Inversión,partida,0299,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR PRESIDENCIA,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"18,429,984,420",,"18,429,984,420"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"18,429,984,420",,"18,429,984,420"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0201,PRESIDENCIA DE LA REPÚBLICA,"1,167,735,124,443",,"1,167,735,124,443"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0209,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA","38,988,000,000",,"38,988,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0209,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA","2,709,731,656","109,325,500,000","112,035,231,656"
Inversión,partida,0208,,GESTIÓN DE LA COOPERACIÓN INTERNACIONAL DEL SECTOR PRESIDENCIA,SECCIÓN:  0209,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA","2,709,731,656","109,325,500,000","112,035,231,656"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0209,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA","2,709,731,656","109,325,500,000","112,035,231,656"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0209,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA","41,697,731,656","109,325,500,000","151,023,231,656"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0211,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,"554,693,000,000",,"554,693,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0211,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,"25,586,241,893",,"25,586,241,893"
Inversión,partida,0207,,PREVENCIÓN Y MITIGACIÓN DEL RIESGO DE DESASTRES DESDE EL SECTOR PRESIDENCIA,SECCIÓN:  0211,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,"25,586,241,893",,"25,586,241,893"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0211,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,"25,586,241,893",,"25,586,241,893"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0211,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,"580,279,241,893",,"580,279,241,893"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0212,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,"318,203,000,000",,"318,203,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0212,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,"2,116,977,856",,"2,116,977,856"
Inversión,partida,0211,,REINTEGRACIÓN DE PERSONAS Y GRUPOS ALZADOS EN ARMAS DESDE EL SECTOR PRESIDENCIA,SECCIÓN:  0212,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,"2,116,977,856",,"2,116,977,856"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0212,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,"2,116,977,856",,"2,116,977,856"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0212,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN - ARN,"320,319,977,856",,"320,319,977,856"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0213,AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,"11,303,000,000",,"11,303,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0213,AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,"55,035,373,428","2,212,713,347","57,248,086,775"
Inversión,partida,0209,,FORTALECIMIENTO DE LA INFRAESTRUCTURA FÍSICA DE LAS ENTIDADES DEL ESTADO DEL NIVEL NACIONAL DESDE EL SECTOR PRESIDENCIA,SECCIÓN:  0213,AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,"55,035,373,428","2,212,713,347","57,248,086,775"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0213,AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,"55,035,373,428","2,212,713,347","57,248,086,775"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0213,AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS,"66,338,373,428","2,212,713,347","68,551,086,775"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"69,764,000,000",,"69,764,000,000"
Inversión,total,Inversión,,,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"24,472,264,014",,"24,472,264,014"
Inversión,partida,0212,,RENOVACIÓN TERRITORIAL PARA EL DESARROLLO INTEGRAL DE LAS ZONAS RURALES AFECTADAS POR EL CONFLICTO ARMADO,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"22,988,685,933",,"22,988,685,933"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"22,988,685,933",,"22,988,685,933"
Inversión,partida,0299,,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR PRESIDENCIA,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"1,483,578,081",,"1,483,578,081"
Inversión,subpartida,,1000,INTERSUBSECTORIAL GOBIERNO,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"1,483,578,081",,"1,483,578,081"
Total de Entidad,total,Total de Entidad,,,SECCIÓN:  0214,AGENCIA DE RENOVACIÓN DEL TERRITORIO - ART,"94,236,264,014",,"94,236,264,014"
Funcionamiento,total,Funcionamiento,,,SECCIÓN:  0301,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,"128,808,300,000",,"128,808,300,000"
Inversión,total,Inversión,,,SECCIÓN:  0301,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,"1,444,305,317,205",,"1,444,305,317,205"
Inversión,partida,0301,,"MEJORAMIENTO DE LA PLANEACIÓN TERRITORIAL, SECTORIAL Y DE INVERSIÓN PÚBLICA",SECCIÓN:  0301,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE PLANEACIÓN,"1,366,892,317,205",,"1,366,892,317,205"
